,site,date,stars,title,text,location
3386,www.godaddy.com,2022-11-18T19:40:34.000Z,5,Jay was Fantastic,"Jay was personable, patient, and great at understanding my needs and wants with my non-profit. He went above and beyond incredible customer service and I did my best to let him know there's nothing he could've done to make my experience better. Highly recommend.",CA
3387,www.godaddy.com,2022-11-18T19:35:35.000Z,5,Microsoft 365 for Business Installation,I was having issues with installation of Microsoft 365 for Business and a GoDaddy associate named Adam listened intently and was able to guide me through the process in a very friendly and professional manner.,US
3388,www.godaddy.com,2022-11-19T18:26:05.000Z,5,Whenever I talk to a customer service…,"Whenever I talk to a customer service rep. They always listen, and handle all of my questions. Ronel was very friendly and knowledgeable.",US
3389,www.godaddy.com,2022-11-18T19:24:45.000Z,5,White Screen of Death,"My website had the white screen of death... not a good day! But I called and Joseph proved to be one of the best customer service reps I have ever encountered. He explained what I needed to do, what I was missing on my sites (I know NOTHING about websites and my marketing person quit), and stayed on the phone with me while he created the service tickets. Thank you for taking the time to take care of me and my business!",US
3390,www.godaddy.com,2022-11-18T19:09:17.000Z,5,I'm very satisfied with Mya the support…,I'm very satisfied with Mya the support team rep in claiming a refund on a mistake I made. Godaddy is a helpful and exciting service to use.,US
3391,www.godaddy.com,2022-11-18T19:00:12.000Z,5,Fantastic Service!,"Date of experience:   November 18, 2022",US
3392,www.godaddy.com,2022-11-18T18:58:55.000Z,5,GoDaddy & Jay going above and beyond,"My experience was amazing to be fair, Jay was outstanding and went above and beyond, Jay is a real asset to GoDaddy and should be acknowledged for this, GoDaddy are the best out of here, for their products, customer service and sheer professionalism, I would have no hesitation in recommending Jay or GoDaddy for any business, take a bow guys top rating👍",GB
3393,www.godaddy.com,2022-11-18T18:43:01.000Z,5,The tech I spoke with was extremely…Domain troubleshooting,"The tech I spoke with was extremely kind, helpful, and knowledgeable.",US
3394,www.godaddy.com,2022-11-18T18:26:50.000Z,5,Great service from Godaddy,"Many time when I call for assistance to clear up a problem, I get someone who speaks and understands broken English.  Never with Godaddy.  John was fantastic today with assisting me with what was a simple problem to him and massive problem from my end.  A good reason not to leave Godaddy.  Thanks for hiring quality people, Godaddy.",US
3395,www.godaddy.com,2022-11-18T18:17:51.000Z,5,A+ customer services,Ronald was extremely helpful and understanding to my situation.  We need more reps like him. Give that man a raise.,US
3396,www.godaddy.com,2022-11-18T18:17:22.000Z,5,Addison Tops the List of Great Customer Service.,"Over time, I've had to deal with many sales and customer service people. Some were good, some were better, but at the top - where the best reside - there are few. I judge the best, by how carefully they listen to my needs, how well they know their products, and how they manage to find the solutions that benefit all concerned. Today, I had the opportunity to work with Addison at Go Daddy. I admit, my needs were not routine ones. Addison listened carefully, explained my best options, laid out everything in clear, precise language I could understand, and fixed everything with kindness, and patience and without ever trying to upsell me on anything. In my opinion, Addison can write the book on what it takes to provide excellent Customer Service. Hats off to Addison! 5 stars. 10 Stars, or 100, if that many are available to assign to Addison.",US
3397,www.godaddy.com,2022-11-18T18:15:58.000Z,5,Upgrades,"My website needed many upgrades as well as a firewall to prevent malware. My Godaddy rep was extremely responsive, patient and effective in accomplishing everything, beyond my expectations.",US
3398,www.godaddy.com,2022-11-18T17:56:43.000Z,5,Jordan was so incredibly helpful!,Jordan was so incredibly helpful! GoDaddy reps take the time to understand your problem and then bend over backward to fix it. I can't recommend them enough!,US
3399,www.godaddy.com,2022-11-18T17:32:50.000Z,5,Excellent Customer Service,I have been a loyal Go Daddy subscriber for years and this company never disappoints.  Amazing customer service.,US
3400,www.godaddy.com,2022-11-18T17:29:52.000Z,5,Thank you so much for your patience and…,Thank you so much for your patience and help. It was so easy for me to navigate through the changes I needed to make. You are truly great at what you do!,CA
3401,www.godaddy.com,2022-11-18T17:24:48.000Z,5,Very prompt and helpful service,Very prompt and helpful service. Highly recommended!,US
3402,www.godaddy.com,2022-11-18T16:46:03.000Z,1,Support,"I am an old client Several times try to explain a simple thing to your support in the chat, an hour later, your support answers what I needed, but I've been waiting for an hour and unclear questions Don't you think that the support chat should be faster and more professional? Thanks!",GE
3403,www.godaddy.com,2022-11-18T16:32:00.000Z,5,My customer service experience with…,My customer service experience with Jarren at Godaddy was excellent!  He went above and beyond and was very helpful resolving my issue.,US
3404,www.godaddy.com,2022-11-18T16:21:48.000Z,5,Very helpful and knowledgeable service,"Date of experience:   November 18, 2022",CA
3405,www.godaddy.com,2022-11-18T15:27:55.000Z,5,Agent was understanding and efficient,"Agent was cheerful, knowledgable and resolved the issue quickly and efficiently.",GB
3406,www.godaddy.com,2022-11-18T14:03:51.000Z,5,Clarification,"Hi  Referring to my review posted on November 5, 2022, I would like to say thank you Godday for all the help and I can confirm that the issue was resolved after a manager called me and explained what the problem was. Specal thanks to Zdravko from customer support and Mr.Tom",BG
3407,www.godaddy.com,2022-11-18T12:46:55.000Z,1,My website is down or missing,"My website is down or missing. Nothing loads and when I login, it's as if I have a completely blank slate.  No notification of any issue or change. All payments are current. Trying to reach a person through their support.",US
3408,www.godaddy.com,2022-11-18T10:54:32.000Z,1,Don't buy a domain from them at all,Don't buy a domain from them at all. They take over my domain without my concern. And now they want me to buy 680$.,AE
3409,www.godaddy.com,2022-11-18T10:05:35.000Z,4,I've used GoDaddy for 9 years,I've used GoDaddy for 9 years. Find the support teams very knowledgeable and helpful. Even when I really twist things up they find a work around to get me back to functionality. I was with another company for 18 months prior to GoDaddy. NO comparison in terms of what I need to keep my business humming along.,US
3410,www.godaddy.com,2022-11-18T09:16:05.000Z,1,My Hosting,Your customer service is very poor... Ticket number ATS_140184 i have been having an issue with my hosting since 11th Nov all my sites are down. I have not received any help,KE
3411,www.godaddy.com,2022-11-18T09:02:52.000Z,5,Great customer service,"Great customer service, the customer representative jasmine was excellent. Help me everything  I needed.",US
3412,www.godaddy.com,2022-11-18T07:58:10.000Z,5,Completely satisfied,I had an issue and my representative helped me to the fullest.,US
3413,www.godaddy.com,2022-11-18T07:17:10.000Z,5,Outstanding Support,"WOW! The Godaddy Rep Jo went above and Boyoung to help and assist me with my issues and he was able to fix all of them in a short time.  I am very impressed, and this is the reason why I refuse to leave Godaddy.",US
3414,www.godaddy.com,2022-11-18T07:11:04.000Z,5,Fantastic customer service,"Fantastic customer service, super affordable services. Live Go Daddy",CA
3415,www.godaddy.com,2022-11-18T05:46:00.000Z,5,I have been with godaddy for years snd…,I have been with godaddy for years snd they always solved my issues. It’s best when you talk to a real person.,US
3416,www.godaddy.com,2022-11-18T05:29:06.000Z,5,Website,Easy to set up. The customer service reps go above and beyond to assist you.,US
3417,www.godaddy.com,2022-11-18T05:01:54.000Z,5,False mailing from other marketing place,So glad I checked about a false mailing for money to list my domain from a marketing service called Domain Info or Networks.   Go Daddy confirmed I did not need that marketing device to spread my photography through.,US
3418,www.godaddy.com,2022-11-18T04:34:53.000Z,5,Great Customer service,"Date of experience:   November 17, 2022",US
3419,www.godaddy.com,2022-11-18T04:03:20.000Z,5,GoDaddy resolved my problem quickly and…,"GoDaddy resolved my problem quickly and effeciently. My tech support person was patent, knowledgeable and professional and resolved the issue.",US
3420,www.godaddy.com,2022-11-18T03:29:19.000Z,5,Great customer service,Todd was really easy to work with and he caught my huge mistake.  I appreciate all the help and I would recommend 10/10.  Thank you Todd.,US
3421,www.godaddy.com,2022-11-18T03:22:55.000Z,5,James in Tech Support was not only an…,"James in Tech Support was not only an extremely competent professional, he was very pleasant to deal with!",US
3422,www.godaddy.com,2022-11-18T03:08:33.000Z,5,Excellent customer service,"Excellent customer service, Representatives taking calls are extremely knowledgeable and helpful.",US
3423,www.godaddy.com,2022-11-18T02:16:44.000Z,5,Helpful,"Helpful, knowledgeable- they live up to their reputation for helping you in your business.",US
3424,www.godaddy.com,2022-11-18T01:51:35.000Z,5,GoDaddy is the best,"I am so grateful I have an account with GoDaddy to help me with my small business online. The associates are very helpful, patient and professional. A bonus is that they are available 24/7. Thank You for the assistance and being there when I need you.",US
3425,www.godaddy.com,2022-11-18T01:39:37.000Z,5,The customer support,The customer support from Chad was awesome.,AU
3426,www.godaddy.com,2022-11-18T01:35:38.000Z,4,The representative Randy Wilson was patient and receptive.,"The representative Randy Wilson was quite knowledgeable, patient and informative.",US
3427,www.godaddy.com,2022-11-18T01:29:55.000Z,5,Very friendly and helpful,"Date of experience:   November 17, 2022",US
3428,www.godaddy.com,2022-11-18T01:26:44.000Z,5,An easy experience.,"The representative was very helpful, explained the options, and made sure I got the best deal for my purchase. Then he guided me through what I needed to do. He stayed on the line to ensure it all went smoothly. He was courteous, patient, and friendly.",AU
3429,www.godaddy.com,2022-11-18T01:22:11.000Z,5,Purchased MS OFFICE for Mac with Godaddy,"Ryan was a great rep who helped me understand my product options re. MS Office, licenses, and devices.  A pleasure to use Godaddy once again.",US
3430,www.godaddy.com,2022-11-18T01:13:09.000Z,2,Domain protection,A paid domain for 1 year protection is available for deal when you type the url.,SN
3431,www.godaddy.com,2022-11-18T00:52:18.000Z,5,Great!,"GoDaddy has been great through our whole process but this evening with our transition from our old hosting company back to GoDaddy with our new GoDaddy site, Ian was great, he was friendly, and he was quick. we were very pleased.",US
3432,www.godaddy.com,2022-11-18T00:48:27.000Z,5,Old School,"I am old school and not very savvy with websites and webpage design.  Garrett was able to guide me through and get my website on the web.  No pressure, just great customer service.   thank you Garrett!",US
3433,www.godaddy.com,2022-11-18T00:20:40.000Z,5,Perfect Service,The customer service representatives are always extremely helpful.,US
3434,www.godaddy.com,2022-11-18T00:14:55.000Z,1,There is more chaos at Godaddy than at…,There is more chaos at Godaddy than at Twitter. I am not permitted to access my domains;but they still take payments from me. I was one of their first customers too. Scam artists,US
3435,www.godaddy.com,2022-11-18T00:02:18.000Z,5,Tech Support & Great Products,Professional looking websites and everything else you need all in one spot. GoDaddy makes it easy on you! Tech support was a great experience. Jennifer was awesome!,US
3436,www.godaddy.com,2022-11-18T00:01:47.000Z,5,Time for a new domain name,"I bought a domain from GoDaddy back in 2019, but with a different email different home address and different number, but, I still had my account number. Customer service was great with setting me up again and I'm going to use it even better domain name this time around. GoDaddy is a great company to deal with",US
3437,www.godaddy.com,2022-11-17T23:46:35.000Z,1,If I could give a lower rating,"If I could give a lower rating, I would. Your service is garbage and you steal money.",CA
3438,www.godaddy.com,2022-11-17T23:09:10.000Z,5,Imran was extremely patient,"Imran was extremely patient, helped me all they way through. Fantastic customer service",GB
3439,www.godaddy.com,2022-11-17T22:59:44.000Z,5,5 STARS for RICARDO,Thank you for all your help today good job!!!,US
3440,www.godaddy.com,2022-11-17T22:59:41.000Z,5,Customer Service is very knowledgeable and helpful.  Usually show a lots of patients.,GoDaddy customer service department as a whole seem to really care about resolving the issue of the customer need.,US
3441,www.godaddy.com,2022-11-17T22:56:16.000Z,5,Great Representatives,"Called in to GoDaddy after not being able to access certain products. With great patience, and wisdom, Clarence guided me until I gained access.",US
3442,www.godaddy.com,2022-11-17T22:52:05.000Z,5,casey listen to what i had to say then…,casey listen to what i had to say then he got the job done1117,US
3443,www.godaddy.com,2022-11-17T22:51:43.000Z,5,Great Service,"Super happy with the service provided. The initial call was due to user error, we resolved that fairly quickly and moved onto addressing issues I had with my other products and the customer service (Andrea) was really helpful.",US
3444,www.godaddy.com,2022-11-17T22:27:31.000Z,5,David was awesome and took care of my…,David was awesome and took care of my issue quickly. Great customer service.,US
